comment,offensive
"🤣🤣🤣🤣🤣🤣 میں اپنے آپ کو اب فضلو یا غفورا کہ کر پکارتا ھوں، اور میری بیگم شدید چڑتی ھے، اس بات پر۔",1
��🤣🤣 پي تي أم غدار نهي آپ كا فوج حرامي هي غدار هي دهشت گر هي امريكا اور انگريز كا كتا هي كتا طالب كي نام پي افغانستان كي بربادي كر رها هي آپ كا ناپاك كتا فوج دهشت گر فوج لر او بر يو افغان,1
"😂😂😂😂😂😂😂 یہ تو پھر بیچارہ آ گیا، باجوہ اور غفورا کنجر تو ہمت بھی نہیں کر سکتے اس طرح عوام میں آنے کی",1
��😁😁😁 کتنا کتی کا بچہ ہے نہ یہ غفورا حرامی,1
�� دونوں پریشان ! کیونکہ اگر باجوہ گیا تو غفورا بھی گیا۔ اسے میں PTM کے نعرے کا کیا بنے گا ؟ 🤔🤔 (باجوہ ماجوہ ۔۔۔۔ غفورا مفورا۔۔۔ ) @romaancekhan pic.twitter.com/XF8ynwDIJ5,1
یی کوتا غفورا کے ناجایز اولاد ہے,1
یی جو دہشت گردی ہی اس کی پیچی وردی ہی غفورا کونسی جگہ ہی میرانشاہ یا وزیرستا pic.twitter.com/0D1vwsBXRr,1
یے باجوا ماجوا دہشت گرد یے غفورا مفورا دہشت گرد صب کے صب کوتے ہے,1
یے انسانی روپ میں چھپے وحشی درندے ہیں چاہے غفورا ہو یا اس کے اگلے پچھلے #ڈیمفول_کہاں_ہےڈیم https://twitter.com/ahmedshazad25/status/1142790948092444672 …,1
یوتھیوں میں سب سے بڑا یوتھیا غفورا بھی شامل ہے @OfficialDGISPR,1
"یہی باجوہ, غفورا اور کھپتان مل کر ""مودی کا یار"" کا نعرہ لگاتے تھے اور آج جو بھارت بقول انکے سلامتی کونسل کی قراردادوں کو پاؤں تلے رولتا رہا, کو اسی سلامتی کونسل میں پہنچادیا. یہ جو حرامپائی ہے اسکے پیچھے باجوہ اور غفورا نائی ہے. https://twitter.com/AkbaruddinIndia/status/1143716761986129920 …",1
یہی بات غفورے نے کہی تھی کہ سب جائز ہے! جب لوگ اصولوں کو بھول جائیں وہی تو وقت ہوتا اصولوں پر چلنے کا ورنہ تو باجوہ اور غفورا کنجر جو کر رہا وہ ٹھیک ہے,1
"یہاں لفظ ""کرپٹ"" اضافی ہے دراصل عالی حضرت فرما چاہ رہے ہیں کہ پاکستان دفن ہوچکا ہے کیونکہ پاکستان اور جمہوریت کے ناجائز تعلقات کی بنا پہ پنچایت کا چوہدری (ناپاک فوج) پاکستان کو کاروکاری کروا چکا ہے @SarmadSultanS @mazdaki @AzazSyed @nooralinoor110 https://twitter.com/geonews_urdu/status/1226755149441511424 …",1
یہاں تو انصاف کے نام پر قصائی بیٹھے ہیں جو لوگوں ذبح کرنے کی کھلے عام اعلان کرتے ہیں جیسے غفورا #PashtunHeroArmanLoni pic.twitter.com/qs4shxPOUM,1
یہاں تباہی آج آئے گی انڈین میں بیس سال بعد . کیوں کے ناپاک فوج بیس سال پہلے اپنی ماں کے امریکی یار کو خوش کرنے کے لیے مسجدیں جلا چکی ہے. سوات کی اک مسجد میں کتے باندھتے تھے یہ زانی شرابی چتو فوجی,1
یہ۔ھے ISPR کی رکھیل۔غفورا کی پنجابی فوج ہمیشہ ہی سے رکھیلوں کا کردار ادا کرتی رہی ھے اب ان سے جنگ نہی ہوتی اسلئیے ہیرہ۔منڈی کو سامنے لے آئ اس نے میرے قائد تحریک الطاف حسین بھائی پر کیچڑ اچھالا اللہ تعالی اس کو غارت اور عبرت ناک سزا دیگا آمین ۔ pic.twitter.com/6WCc9kWF3m,1
یہ وہی غفورا نکلا جس کو پنجابی سٹیج ڈراموں میں اکثر الٹی سیدھی حرکتیں کرنے پر ایسے بلایا جاتا ھے۔ اوئے غفورے۔ اوئے دس اوئے توں وڈا بے غیرت ایں کہ تیرا پیو۔۔۔۔۔۔۔,1
یہ وہ سانپ ہیں جنہوں نے سامنے سے حملہ کیا تھا۔ مندرجہ ذیل وہ ہیں جنہوں نے چھپ کر وطن کو آگ لگائی جرنل پاشا ندیم اعجاز ظہیر راحیل عاصم باجوا فیض غفورا قمر باجوا . جسٹس ثاقب نثار کھوسہ پانامہ بنچ جاوید اقبال NAB JIT میڈیا عمران خان PTI https://twitter.com/respectvoter/status/1209530570289688576 …,1
یہ وہ پنجابی کنجر ہیں جنکا باپ غفورا انکی تنخواہ لے کر بھاگ گیا ففتھ وار کے نام پر اب یہ بھڑوے پاگل ہوۓ کتے کی طرح چاند پر بھونک رہے ہیں شاید کچھ پیسے مل جایں پنڈی سے,1
یہ وقت ھے کہ مشرف لابی کا مکمل خاتمہ ھو ۔ اس میں چاھے چا چا غفورا ھو یا باجوہ یا کوئی اور ۔ انھوں نے ہمارے سر پر یہودیوں اور قادیانیوں کے نالائق اور بے راہرو لوگوں کو مسلط کر دیا ۔ ان کی گیڈر بھبکیوں سے اب ڈرنا نہیں ۔ 👋,1
یہ وزیر نہیں بلکہ غفورا مفورا کے کتے ہیں,1
یہ وڈیوخصوصاً بنوائی گئی ہے آپ کے غفورا اسٹوڈیو میں - باجوہ ڈاکٹرائن بہت پیار سے پیش کیا گیا ہے۔,1
یہ ھے غفورا کتورا,1
"یہ ہیں سیلیکٹڈ غدار, وطن۔ خود ہی ملک کو آگ۔لگانے کی ترغیب دیتے ہیں اور پھر خود ہی اس ملک کی ہر شے کو آگ لگا دیتے ہیں۔ غفورا مسلی ان کنجروں کی حمایت میں نکلا ہے؟ لعنت ایسے کتے پر۔ https://twitter.com/KhawajaMAsif/status/1192149480751149056 …",1
"یہ ہی سب سے بڑا بلنڈر کرتے ہیں یہ گدھے سیاستدان جو ان بیغیرت جرنیلوں کے بدنما چہرے عوام کے سامنے نہیں آنے دیتے، ٹھیک کر رہا ہے باجوہ جو سب کو جیل کے اندر کر دیا، کل عمران کھوتے کو بھی کسی جرنیل نے جیل میں ڈال دینا ہے۔",1
یہ ہے وہ سٹوری جس پر غفورا بوکھلایا ہوا ہے' اور صبح سے یہل بللڑیاں مار رہا ہے 👇👇👇 https://twitter.com/SaleemMehsud/status/1135256185743921152 …,1
"یہ ہے پاکستان کے بزدل جرنیلوں کی کارکردگی اورکرتوت آج تک اس ناپاک فوج کے کریڈٹ پر ایک کامیابی نہیں ہمیشہ ہزیمت، شکست اور بزدلی کا مظاہرہ کیا ہے انہوں نے لعنت ہے ایسی فوج پر @OfficialDGISPR https://twitter.com/RabNBaloch/status/1225405717982728194 …",1
یہ ہے باجوہ ڈاکٹرائن اور کشمیر کا نیازی فارمولہ....نیازی نے کشمیر بیچ دیا ہے امریکہ سے ڈالر لے لیے ہیں...بےغیرت نیازی....اب فیصلہ پاکستانی قوم نے کرنا ہے...فوج بکری ہو گئی ہے اب تو قبائلی بھی نہ رہے جنہوں نے کشمیر آزاد کروایا تھا...اب کون لڑکے گا پاکستان کے لیے,1
یہ ہے PTI کا ترجمان غفورا پینڈو جہاں کسی نے PTI پر تنقید کی وہیں ٹویٹر غفور حاضر شہباز گل کی جگہ غفورے کو ہی رکھ لیں,1
یہ میجر جرنل دہشتگرد یہ سب کے سب دہشتگرد باجوا ماجوا غفورا مفورا دہشتگرد دہشتگرد دہشتگرد #Justice4SartajKhan pic.twitter.com/nU3AhSMu0R,1
یہ مرچوں والا جواب بھی سٹینڈرڈ ہے ۔۔۔ سوال: باجوہ ۳ سال اور رہے گا اور مُلک کی بُنڈ لے گا۔ جواب: “تیری گانڈ میں کیوں مرچیں لگ رہی ہیں”۔ غفورا کی ٹویٹر آرمی کا گانڈ کی مرچیں بانٹنے کا کوئ حساب ہے یا اُسکا حال بھی ڈیم فنڈ جیسا ہے؟,1
"یہ مذمت ان کا کام ہے جنہوں نے کرتار پورہ کوریڈور کھولا ہے یعنی عمران خان، باجوہ، غفورا، اور قادیانی۔",1
یہ مجھے کوئی غفورا مفورا کا آدمی لگتا ہے۔ اسلئے اتنا بی شرم ہے,1
یہ متروک شدہ لوگ فوج کے ٹٹے منہ میں پکڑ کر لٹک رہے ہیں - جو ناپاک فوج کا یار ہے وہ قوم کا غدار ہے وہ تمام مظلوم قوموں کا غدار ہے https://twitter.com/0844Saleem/status/1220792239410073603 …,1
یہ مبشر لقمان کی بہن کا مجرہ دیکھنے لوگ آئے ہوئے طبلہ نواز جنرل باجوہ اور غفورا حوالدار ہے pic.twitter.com/LJnRRAvrnp,1
یہ مُسلی ہے اور اس کا اصل نام ہے غفورا مُسلی,1
یہ لوگ چھترول سے نہیں ٹھیک ھونے والے یہ بڑے ڈھیٹ قسم کے بیغیرت ہیں جو ملک پر مسلط ہیں اور قوم ہمیشہ کی طرح سوٸ ھوٸ ہے جس دن قوم اٹھ گٸی تو پھر دیکھنا یہ تو عمران خان اور باجوہ ہے ان کا باپ بجی ٹھیک ھوگا https://twitter.com/_saba_n/status/1226406652875825156 …,1
یہ لوگ ٹیکس اکھٹا کریں گے ۔۔۔ ؟ @peaceforchange ... تمہاری اور تیرے باجوے کی سلیکشن پے لعنت ہے غفورا ! https://twitter.com/geonews_urdu/status/1198478397569146880 …,1
"یہ لعنتی جنرل غفورا کون ہوتا ہے سیاست اور سیاسی پارٹیوں کو لیکچر دینے والا، لگتا ہے اب یہ عوام سے جوتے کھائے گا",1
یہ کہنا چاھتا ھے کہ آل یوتھ ٹوٹل حرامی بچے ہیں اور غفورا ان حرامیوں سوشل میڈیا پر اپنے حق میں اور مخالفین کے خلاف گنڈم کی طرح استعمال کرتا ھے۔,1
یہ کنجری تو ہے ہی لیکن اس کنجری کا اکاونٹ پاء غفورا چلا رھا ہے۔,1
یہ کرنل جنرل دہشتگرد یہ باجوہ ماجوہ دہشتگرد یہ غفورا مفورا دہشتگرد,1
"یہ کرنل جنرل بیغیرت، یہ باجوہ غفورا بیغیرت، سب ان کے ساتھی بیغیرت، #نامعلوم_افراد_کاشف_ایڈووکیٹ_کو_رہا_کریں https://twitter.com/CivilSupermacy/status/1183376089881763840 …",1
یہ کرنل جنرل ۔۔۔دھشت گرد یہ غفورا منفورا ...دهشت گرد يہ باجوا ماجوا...دهشت گرد يہ آرمی حرامی...دهشتگرد,1
یہ کرنل جرنل غدار یہ کرنل جرنل غدار یہ کرنل جرنل غدار یہ غفورا مفورا۔۔۔۔۔۔۔۔۔۔۔خالی جگہ پورکرے #WeStandWithJudiciary,1
یہ کرنل جرنل دھشت گرد یہ غفورا باجواء دھشت گرد یہ راحیل اور مشرف دھشت گرد,1
یہ کتا بھی یہی بھونک رہا تھا جو آج باجوہ غفورا بھونک رہے ہیں,1
"یہ فوجی ٹولہ بیغرت بھی ہے اور خود پرست بھی، ملک کی معیشت کو داؤ پر لگا کر غفورا بیغرت کہتا ہے سب اچھا لکھو، سب اچھا دکھاؤ. کوئی شرم ہوتی ہے کوئی حیا ہوتی ہے",1
یہ فوج ھے؟ یہ تیرا ابو غفورا ھے,1
"یہ فوج کیسے ملک کے غدار کا ساتھ دے سکتی ہے؟۔ غفورا بک رہا ہے۔ فوج کو ملک کے ادارے کے خلاف اُکسا رہا ہے ۔ اس پر بھی غداری کا ، اور عدالت کے توہین کا کیس بنایاجاۓ۔ یہ ملک کا نہیں ،ملک کے غدار کا وفادار ہے۔",1
یہ فوج کو خود جرنل بدنام کر رحے حیں مارشل لاء تو عمران کی شکل میں ھے مگر عمران باجوہ کو ماموں بنا گیا اس لیئے غفورا چیخ رحا حے https://twitter.com/Usmanma79228494/status/1207192475015749633 …,1
یہ غفورا نہیں کتورا ھے شیطان کا لعنتی دو نمبر ملاں,1
یہ غفورا مفورا دہشتگرد 🖕,1
یہ غفورا مفورا بیغیرت,1
یہ غفورا مداری طرحطرح کے ڈرامے کرتا ہے کالیاں ہم اچھی طرح جانتے ہے کہ تم کتنے ہمدرد ہو ہمارے ابلیس ہو ابلیس انسان کے روپ میں مکمل ابلیس ہو تمہارے یہ خفیہ ادارے تو شیطانوں سے بھی زیادہ مکروہ ہے,1
یہ غفورا کہاں مرا ہوا ہے ؟,1
یہ غفورا کہاں سے جاہل نمونے نکال لاتا ھے ویسے؟ اُس موری کا پتہ چل جائے تو دو ٹرالیاں چُونا ای ڈلوا دیں شاہ جی۔۔ ہور کُش نئیں تے موری ساڑ ای چھڈیئے۔۔,1
یہ غفورا کس کو کہہ رہا ہے #قتل_عام_نامنظور شرم نہیں آتی عوام پر گولیا چلاتے ہوئے پہلے ملک دولخت کیا اب پھر ملک توڑنے کے لئے پھدک رہے ہو ؟ ویسے دھرنہ ایناد کس کی ہے ؟ پنجاب میں دھرنہ بات چیت دے مسائل حل کرو خیبرپختونخوا میں دھرنا گولیاں ماروں واہ کیاانصاف ہے https://twitter.com/geonews_urdu/status/1132695395811897344 …,1
یہ غفورا کپور آ بیغرت https://twitter.com/MandokhailNazak/status/1207018406375018496 …,1
یہ غفورا کڀورا بہت ہی بے شرم اور بے غیرت ٹٹے ڄک مافیا کا سرغنا ہے https://twitter.com/JusticeUsmanKh/status/1192139620231864320 …,1
یہ غفورا فورس کے حراول دستے کی گشتی کمانڈو ہے,1
یہ غفورا ثابت شدہ حرام کی نسل ھے🙂☝میمو👍🙂,1
یہ غفورا ٹفورا غپا غپا,1
یہ غفورا تو واقعی پاگل ہوگیا ہے کیا یہ اس کا اسٹینڈر ہے کے ٹویٹر پر جوک کرتا پھرے تف ہے ایسے جنرل پر,1
یہ غفورا تو کمینہ ہے بابا۔۔۔ لعنت کالیا بریگیڈ۔۔۔ #LiesOfDGISPR,1
یہ غفورا تو چتیا گیا ھے 😂😂😂۔ اس کو سمجھ نہی آرہا ھے کہ ہاں بولے کہ ناں ہاں بولتا ھے تو پھنستا ھے نا بولتا ھے تو ذلیل ھوتا ھے لگتا ھے مسلمان بنگالنوں بدعائیں لگنا شروع ھوگئیں ھیں pic.twitter.com/5uffL85qI5,1
یہ غفورا تو امریکہ کا غلام ہے,1
یہ غفورا بھی کوئی کھوتا ہی ہے,1
یہ غفورا بھڑوا اس قدر جھوٹا مکار اور ابلیس ہے کہ میں اللہ کی پناہ مانگتا ہو ان ابلیسوں سے ان کی منافقت دیکھ کر ابلیس کو بھی شرم آتی ہوگی,1
یہ غفورا بہت کتی نسل کا حرامی ھے اس گشتی کے بچے نے اس وقت بھی ایسا ھے ٹویٹ کیا تھا جب تذحریک لبیک پر کریک ڈاؤن کیا گیاتھا یہ خود قادیانی کتا ھے,1
یہ غفورا بریگیڈ بہت نیچ لوگ ہیں ۔۔ یہ کسی بھی حد تک جا سکتے ہیں,1
یہ غفورا آجکل کہاں مرا ہوا ہے. ساری گالیاں عمران اور یوتھئیے کھارہے ہیں.,1
